skier,airs,spins,inverts,crashes,largest_spin,largest_invert,largest_magnitude,largest_landed,score,,
Mickael Bimboes,5,0,0,0,0,0,3,1,70,,
Drew Tabke,6,0,0,0,0,0,4,1,75,,
Andrew Pollard,5,0,0,1,0,0,2,0,42,,
Carl Eriksson,5,0,1,0,0,1,2,1,61.67,,
Yu Sasaki,4,1,0,0,1,0,4,1,78.33,,
Liam Peiffer,2,0,0,0,0,0,4,1,65.33,,
Yann Baudron,5,1,0,1,0,0,3,1,28.67,,
Reine Barkered,5,0,1,0,0,1,4,1,76.67,,
Markus Eder,7,2,1,0,1,1,4,1,86.67,,
Fabio Studer,4,1,1,2,1,1,3,0,5,,
Tanner Hall,6,2,1,0,1,0,4,1,81,,
Taisuke Kusunoki,3,0,0,1,0,0,2,0,10,,
Yann Rausis,4,1,0,0,0,0,4,1,70.67,,
Berkeley Patterson,4,1,1,0,1,1,3,1,67,,
Aymar Navarro,4,0,0,0,0,0,5,1,73,,
Kye Petersen,5,2,1,1,2,1,3,1,67.33,,
Kristofer Turdell,5,0,1,0,0,1,3,1,75.67,,
Craig Murray,3,2,0,0,2,0,4,1,77.33,,
Tom Peiffer,5,1,0,0,1,0,4,1,79.67,,
Grifen Moller,3,0,1,2,0,1,5,0,7.67,,
Wadeck Gorak,0,0,0,0,0,0,0,0,0,,
Leo Slemett,0,0,0,0,0,0,0,0,0,,
